Gene,Perturbed_excitatory_count,Unperturbed_excitatory_count,Perturbed_inhibtory_count,Unperturbed_inhibtory_count,excitatory_LogFC,inhibtory_LogFC,Total_cells
Sox17,919,919,1176,1176,0.0,0.0,2153
St18,919,919,1176,1176,0.0,0.0,2153
Mybl1,969,919,1126,1176,0.07643180412604668,-0.0626812327561348,2153
Tcf24,919,919,1176,1176,0.0,0.0,2153
Prdm14,919,919,1176,1176,0.0,0.0,2153
Ncoa2,941,919,1157,1176,0.0341298614395021,-0.023499195728874465,2153
Msc,919,919,1176,1176,0.0,0.0,2153
Terf1,885,919,1209,1176,-0.05438740631867476,0.03992618441275923,2153
Tfap2d,919,919,1176,1176,0.0,0.0,2153
Tfap2b,919,919,1176,1176,0.0,0.0,2153
Arid5a,914,919,1186,1176,-0.00787069623096478,0.012215949709639348,2153
Npas2,919,919,1176,1176,0.0,0.0,2153
Rfx8,919,919,1176,1176,0.0,0.0,2153
Pou3f3,884,919,1212,1176,-0.05601849189760294,0.04350163863658641,2153
Stat4,926,919,1174,1176,0.01094733197120195,-0.0024556517263121347,2153
Stat1,919,919,1176,1176,0.0,0.0,2153
Hsfy2,919,919,1176,1176,0.0,0.0,2153
Satb2,890,919,1198,1176,-0.046259525435274465,0.026739847952421215,2153
Carf,921,919,1174,1176,0.0031362948023009943,-0.0024556517263121347,2153
Klf7,949,919,1152,1176,0.046343225732074764,-0.029747343394052064,2153
Creb1,925,919,1174,1176,0.009388504114640078,-0.0024556517263121347,2153
Ikzf2,919,919,1177,1176,0.0,0.001226260202079849,2153
Fev,919,919,1176,1176,0.0,0.0,2153
Ankzf1,917,919,1178,1176,-0.0031431276939800435,0.002451478994096389,2153
Pax3,919,919,1176,1176,0.0,0.0,2153
Sp110,919,919,1176,1176,0.0,0.0,2153
Sp140,926,919,1169,1176,0.01094733197120195,-0.008613130304708033,2153
Sp100,919,919,1176,1176,0.0,0.0,2153
Gbx2,919,919,1176,1176,0.0,0.0,2153
Hes6,916,919,1176,1176,-0.004717263192090615,0.0,2153
Twist2,919,919,1176,1176,0.0,0.0,2153
Mterf4,880,919,1215,1176,-0.06256133776437492,0.04706825365677887,2153
Thap4,919,919,1176,1176,0.0,0.0,2153
Tfcp2l1,919,919,1176,1176,0.0,0.0,2153
Gli2,941,919,1153,1176,0.0341298614395021,-0.02849554718459253,2153
En1,919,919,1176,1176,0.0,0.0,2153
Elk4,903,919,1186,1176,-0.025338873808176336,0.012215949709639348,2153
Sox13,904,919,1189,1176,-0.02374208887384673,0.015860654909291314,2153
