index,fate_excluding_DCs,fate_excluding_Ery_1,fate_excluding_HSC_1,fate_excluding_Mono_1,fate_excluding_Precursors,fate_excluding_HSC_2,fate_excluding_Mono_2,fate_excluding_Ery_2
Run4_120703408880541,Ery_2,Mega,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_120703409056541,DCs,Precursors,Mega,Mega,Ery_1,Ery_1,Mega,Ery_1
Run4_120703409580963,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_120703423990708,Mono_1,Mono_1,Mono_1,Mono_1,Mono_1,Mono_1,Mono_1,Mono_1
Run4_120703424252854,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_120703436053366,Ery_1,Ery_1,Ery_2,Ery_2,Ery_1,Ery_2,Ery_2,Mega
Run4_120703436057910,Mega,Mega,Mega,Mega,Mega,Mega,Mega,Mega
Run4_120703436876077,Mono_2,DCs,DCs,DCs,Mono_1,DCs,DCs,DCs
Run4_120703455025387,Mega,DCs,Mega,Mega,Mega,Mega,Mega,DCs
Run4_120726911638237,Ery_1,Mega,DCs,Mega,DCs,Mega,Mega,Mega
Run4_120726912355038,Mono_1,Mono_1,DCs,Mono_2,Mono_1,DCs,Mono_1,Mono_1
Run4_120726924974443,DCs,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_2
Run4_120726924978030,Mono_2,Mono_1,DCs,DCs,Mono_1,DCs,DCs,Mono_2
Run4_120726943295348,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_120726943845302,Mono_1,Mono_1,Mono_1,Mono_1,Mono_1,Mono_1,Mono_1,Mono_1
Run4_120772961130853,Mono_1,DCs,Mono_1,Mega,Mega,Ery_1,Mega,Mega
Run4_120772961168292,Mega,Mega,Ery_2,Ery_2,Mega,Ery_1,Ery_1,Ery_1
Run4_120786758780660,DCs,DCs,DCs,DCs,Ery_2,Mega,Mega,DCs
Run4_120786786086116,Ery_2,DCs,DCs,DCs,DCs,DCs,Mega,DCs
Run4_120786804205803,Mono_1,DCs,DCs,DCs,Mono_2,DCs,DCs,DCs
Run4_120786804401973,Mono_2,Mega,Mono_1,DCs,Mono_1,Mono_1,Mono_1,DCs
Run4_120797898099934,Mono_2,DCs,DCs,DCs,DCs,DCs,Mono_2,DCs
Run4_120797898946870,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2
Run4_120797925428019,DCs,DCs,DCs,DCs,Mono_1,DCs,DCs,DCs
Run4_120797944278244,Ery_2,Ery_1,Ery_2,Ery_2,Ery_2,Ery_1,Ery_2,Ery_1
Run4_120797944309486,Ery_2,Ery_1,Ery_1,Ery_2,Mega,Ery_2,Ery_2,Ery_1
Run4_120797944462237,Ery_1,DCs,DCs,Ery_2,Mono_1,DCs,Mega,DCs
Run4_120797944538971,Ery_2,Ery_1,Mega,Mega,Ery_2,Ery_2,Ery_2,Mega
Run4_120797945018284,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2
Run4_120797945084765,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_120864497952619,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_121202296155437,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_121202296712412,Mono_2,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_121202296875939,Mono_1,DCs,Mega,Mega,Mono_1,Mega,DCs,HSC_2
Run4_121202311609131,Mono_1,Mono_2,Mono_1,DCs,Mono_2,Mono_1,Mono_1,Mono_1
Run4_121202323408629,Mono_1,Mono_1,Mono_1,Mono_2,Mono_1,Mono_1,Mono_1,Mono_1
Run4_121202323971293,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_121202324139420,Mono_2,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_121276814544302,Mono_1,DCs,Mono_1,DCs,Mono_1,DCs,DCs,DCs
Run4_121276814768869,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_121319782803691,DCs,DCs,Mono_1,DCs,DCs,DCs,Mono_1,DCs
Run4_121338017995180,Ery_2,Mega,Ery_2,Ery_2,Mega,Mega,Ery_2,Ery_2
Run4_121339869292318,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_121339869579045,Ery_1,Mega,DCs,Ery_2,Mega,DCs,Ery_1,Mega
Run4_121339884197670,DCs,Mega,Mega,Ery_2,Mega,Mega,Ery_2,Mega
Run4_121339897375467,DCs,DCs,DCs,DCs,DCs,DCs,Mono_1,DCs
Run4_121339915976030,HSC_2,Mega,DCs,DCs,Ery_1,DCs,Mono_2,DCs
