Gene,Perturbed_Notochord_count,Unperturbed_Notochord_count,Perturbed_Prechordal_count,Unperturbed_Prechordal_count,Notochord_LogFC,Prechordal_LogFC,Total_cells
ACCS,634,634,107,107,0.0,0.0,741
ADNP2A,625,634,116,107,-0.0206266505899579,0.11651400872642503,741
ADNPA,652,634,89,107,0.04038912409167036,-0.26573355543474925,741
ADNPB,634,634,107,107,0.0,0.0,741
AEBP2,643,634,98,107,0.02033589718853994,-0.12675714228593873,741
AHR1A,634,634,107,107,0.0,0.0,741
AHR1B,634,634,107,107,0.0,0.0,741
AHR2,638,634,103,107,0.009073583625462067,-0.054966459217928566,741
AHRRB,634,634,107,107,0.0,0.0,741
AL627305.1,634,634,107,107,0.0,0.0,741
AL645691.1,634,634,107,107,0.0,0.0,741
AL645691.2,634,634,107,107,0.0,0.0,741
AL929028.1,634,634,107,107,0.0,0.0,741
AL935280.1,635,634,106,107,0.0022737515201209325,-0.01354653183794777,741
ALX1,634,634,107,107,0.0,0.0,741
ALX3,634,634,107,107,0.0,0.0,741
ALX4A,634,634,107,107,0.0,0.0,741
ALX4B,634,634,107,107,0.0,0.0,741
AR,635,634,106,107,0.0022737515201209325,-0.01354653183794777,741
ARID1AB,634,634,107,107,0.0,0.0,741
ARID2,633,634,108,107,-0.0022773407110659246,0.01342051576232144,741
ARID3A,634,634,107,107,0.0,0.0,741
ARID3B,635,634,106,107,0.0022737515201209325,-0.01354653183794777,741
ARID3C,634,634,107,107,0.0,0.0,741
ARID5A,634,634,107,107,0.0,0.0,741
ARID5B,634,634,107,107,0.0,0.0,741
ARL14EP,589,634,152,107,-0.10621520630894654,0.5064605270424385,741
ARNT,635,634,106,107,0.0022737515201209325,-0.01354653183794777,741
ARNT2,568,634,173,107,-0.15859191063472522,0.6931612412355778,741
ARNTL1A,627,634,114,107,-0.016017397337368386,0.09142302776359458,741
ARNTL1B,636,634,105,107,0.004543925144948079,-0.027221468735024314,741
ARNTL2,625,634,116,107,-0.0206266505899579,0.11651400872642503,741
ARXA,634,634,107,107,0.0,0.0,741
ASCL1A,634,634,107,107,0.0,0.0,741
ASCL1B,634,634,107,107,0.0,0.0,741
ATF1,654,634,87,107,0.044807795358675316,-0.29852349055241867,741
ATF2,634,634,107,107,0.0,0.0,741
ATF3,634,634,107,107,0.0,0.0,741
ATF4A,634,634,107,107,0.0,0.0,741
ATF4B,635,634,106,107,0.0022737515201209325,-0.01354653183794777,741
ATF5A,634,634,107,107,0.0,0.0,741
ATF5B,634,634,107,107,0.0,0.0,741
ATF6,587,634,154,107,-0.11112233702935503,0.5253195542937543,741
ATF7A,633,634,108,107,-0.0022773407110659246,0.01342051576232144,741
ATF7B,629,634,112,107,-0.011422823260117992,0.06588793565645701,741
ATMIN,634,634,107,107,0.0,0.0,741
ATOH1A,634,634,107,107,0.0,0.0,741
ATOH1B,634,634,107,107,0.0,0.0,741
ATOH1C,634,634,107,107,0.0,0.0,741
ATOH7,634,634,107,107,0.0,0.0,741
ATOH8,634,634,107,107,0.0,0.0,741
BACH1A,637,634,104,107,0.006810532116893079,-0.04102726826005479,741
BACH1B,634,634,107,107,0.0,0.0,741
BACH2A,628,634,113,107,-0.013718281247780323,0.07871197601404076,741
BACH2B,636,634,105,107,0.004543925144948079,-0.027221468735024314,741
BARHL1A,633,634,108,107,-0.0022773407110659246,0.01342051576232144,741
BARHL1B,634,634,107,107,0.0,0.0,741
BARHL2,634,634,107,107,0.0,0.0,741
BARX1,634,634,107,107,0.0,0.0,741
BARX2,634,634,107,107,0.0,0.0,741
BATF,634,634,107,107,0.0,0.0,741
BATF3,633,634,108,107,-0.0022773407110659246,0.01342051576232144,741
BAZ2A,641,634,100,107,0.015841516479333677,-0.09761079662642226,741
BAZ2B,634,634,107,107,0.0,0.0,741
BAZ2BA,637,634,104,107,0.006810532116893079,-0.04102726826005479,741
BBX,634,634,107,107,0.0,0.0,741
BCL11AA,634,634,107,107,0.0,0.0,741
BCL11AB,634,634,107,107,0.0,0.0,741
BCL11BA,634,634,107,107,0.0,0.0,741
BCL6A,617,634,124,107,-0.03921235098998945,0.21272932398572814,741
BCL6AB,633,634,108,107,-0.0022773407110659246,0.01342051576232144,741
BCL6B,634,634,107,107,0.0,0.0,741
BHLHA15,634,634,107,107,0.0,0.0,741
BHLHA9,634,634,107,107,0.0,0.0,741
BHLHE22,634,634,107,107,0.0,0.0,741
BHLHE23,634,634,107,107,0.0,0.0,741
BHLHE40,634,634,107,107,0.0,0.0,741
BHLHE41,634,634,107,107,0.0,0.0,741
BLF,633,634,108,107,-0.0022773407110659246,0.01342051576232144,741
BNC1,634,634,107,107,0.0,0.0,741
BNC2,634,634,107,107,0.0,0.0,741
BSX,636,634,105,107,0.004543925144948079,-0.027221468735024314,741
BX000477.1,633,634,108,107,-0.0022773407110659246,0.01342051576232144,741
BX000701.1,637,634,104,107,0.006810532116893079,-0.04102726826005479,741
BX000701.2,634,634,107,107,0.0,0.0,741
BX000701.3,636,634,105,107,0.004543925144948079,-0.027221468735024314,741
BX000703.1,634,634,107,107,0.0,0.0,741
BX004873.1,634,634,107,107,0.0,0.0,741
BX004873.2,634,634,107,107,0.0,0.0,741
BX005085.3,625,634,116,107,-0.0206266505899579,0.11651400872642503,741
BX005085.4,634,634,107,107,0.0,0.0,741
BX005085.6,636,634,105,107,0.004543925144948079,-0.027221468735024314,741
BX005417.2,634,634,107,107,0.0,0.0,741
BX005448.1,633,634,108,107,-0.0022773407110659246,0.01342051576232144,741
BX005448.2,634,634,107,107,0.0,0.0,741
BX088712.2,634,634,107,107,0.0,0.0,741
BX248122.1,633,634,108,107,-0.0022773407110659246,0.01342051576232144,741
BX248128.1,634,634,107,107,0.0,0.0,741
BX255935.1,634,634,107,107,0.0,0.0,741
BX276122.1,634,634,107,107,0.0,0.0,741
BX293993.1,634,634,107,107,0.0,0.0,741
BX294653.1,634,634,107,107,0.0,0.0,741
BX321873.1,634,634,107,107,0.0,0.0,741
BX321887.1,634,634,107,107,0.0,0.0,741
BX321887.2,634,634,107,107,0.0,0.0,741
BX321887.3,634,634,107,107,0.0,0.0,741
BX322597.1,632,634,109,107,-0.004558281962304301,0.02671733837577941,741
BX323023.1,634,634,107,107,0.0,0.0,741
BX323023.2,634,634,107,107,0.0,0.0,741
BX324003.1,629,634,112,107,-0.011422823260117992,0.06588793565645701,741
BX324003.3,634,634,107,107,0.0,0.0,741
BX324142.2,634,634,107,107,0.0,0.0,741
BX324142.3,634,634,107,107,0.0,0.0,741
BX324155.1,633,634,108,107,-0.0022773407110659246,0.01342051576232144,741
BX324179.1,634,634,107,107,0.0,0.0,741
BX324179.2,633,634,108,107,-0.0022773407110659246,0.01342051576232144,741
BX324179.3,632,634,109,107,-0.004558281962304301,0.02671733837577941,741
BX324216.1,631,634,110,107,-0.006842835156858206,0.0398927271235125,741
BX324216.4,634,634,107,107,0.0,0.0,741
BX465848.1,637,634,104,107,0.006810532116893079,-0.04102726826005479,741
BX465848.2,634,634,107,107,0.0,0.0,741
BX465848.3,634,634,107,107,0.0,0.0,741
BX470115.1,634,634,107,107,0.0,0.0,741
BX470115.2,632,634,109,107,-0.004558281962304301,0.02671733837577941,741
BX470149.1,634,634,107,107,0.0,0.0,741
BX470200.3,634,634,107,107,0.0,0.0,741
BX510909.1,635,634,106,107,0.0022737515201209325,-0.01354653183794777,741
BX510909.2,634,634,107,107,0.0,0.0,741
BX510934.1,634,634,107,107,0.0,0.0,741
BX511020.1,634,634,107,107,0.0,0.0,741
BX511078.1,634,634,107,107,0.0,0.0,741
BX511078.2,634,634,107,107,0.0,0.0,741
BX511078.3,634,634,107,107,0.0,0.0,741
BX511182.1,634,634,107,107,0.0,0.0,741
BX511215.1,634,634,107,107,0.0,0.0,741
BX511215.2,634,634,107,107,0.0,0.0,741
BX530097.1,634,634,107,107,0.0,0.0,741
BX537137.2,637,634,104,107,0.006810532116893079,-0.04102726826005479,741
BX539341.1,634,634,107,107,0.0,0.0,741
BX548067.1,634,634,107,107,0.0,0.0,741
BX548067.2,634,634,107,107,0.0,0.0,741
BX548173.1,635,634,106,107,0.0022737515201209325,-0.01354653183794777,741
BX548173.2,634,634,107,107,0.0,0.0,741
BX571664.1,627,634,114,107,-0.016017397337368386,0.09142302776359458,741
BX571760.1,634,634,107,107,0.0,0.0,741
BX571760.2,634,634,107,107,0.0,0.0,741
BX571878.1,634,634,107,107,0.0,0.0,741
BX572103.1,634,634,107,107,0.0,0.0,741
BX572103.2,634,634,107,107,0.0,0.0,741
BX572103.3,633,634,108,107,-0.0022773407110659246,0.01342051576232144,741
BX572103.4,634,634,107,107,0.0,0.0,741
BX640461.2,638,634,103,107,0.009073583625462067,-0.054966459217928566,741
BX640584.1,634,634,107,107,0.0,0.0,741
BX640584.2,634,634,107,107,0.0,0.0,741
BX640584.3,634,634,107,107,0.0,0.0,741
BX649417.1,634,634,107,107,0.0,0.0,741
BX649417.2,634,634,107,107,0.0,0.0,741
BX649453.3,633,634,108,107,-0.0022773407110659246,0.01342051576232144,741
BX649497.1,634,634,107,107,0.0,0.0,741
BX649556.1,634,634,107,107,0.0,0.0,741
BX663505.1,634,634,107,107,0.0,0.0,741
BX663505.2,634,634,107,107,0.0,0.0,741
BX664605.2,634,634,107,107,0.0,0.0,741
BX664622.1,634,634,107,107,0.0,0.0,741
BX664622.2,635,634,106,107,0.0022737515201209325,-0.01354653183794777,741
BX842593.1,634,634,107,107,0.0,0.0,741
BX855614.3,634,634,107,107,0.0,0.0,741
BX890539.1,634,634,107,107,0.0,0.0,741
BX897726.1,634,634,107,107,0.0,0.0,741
BX901907.1,634,634,107,107,0.0,0.0,741
BX927193.1,634,634,107,107,0.0,0.0,741
BX927287.3,634,634,107,107,0.0,0.0,741
BX927290.1,634,634,107,107,0.0,0.0,741
BX936303.1,634,634,107,107,0.0,0.0,741
BX936303.2,634,634,107,107,0.0,0.0,741
BX936350.1,634,634,107,107,0.0,0.0,741
CABZ01001457.1,634,634,107,107,0.0,0.0,741
CABZ01001464.1,634,634,107,107,0.0,0.0,741
CABZ01002345.1,634,634,107,107,0.0,0.0,741
CABZ01002718.1,634,634,107,107,0.0,0.0,741
CABZ01002768.1,617,634,124,107,-0.03921235098998945,0.21272932398572814,741
CABZ01002768.2,634,634,107,107,0.0,0.0,741
CABZ01003344.1,634,634,107,107,0.0,0.0,741
